# wl (nm), spectrum (a.u.), gdd (fs^2),phase
1.068392370749889777e-06, 5.311995941600679005e-01, -2.777903373383181694e-28, -1.881142060404353344e+02
1.067252144100210112e-06, 5.159421548599295582e-01, -1.885724673689007495e-28, -1.909501584242896399e+02
1.066114348637416650e-06, 5.018856970493447145e-01, -9.073820457973908280e-29, -1.937771497224475183e+02
1.064978976594139339e-06, 4.889744497201126694e-01, -2.548920258767821106e-28, -1.966108687540780409e+02
1.063846020236060408e-06, 4.767049242898370176e-01, 4.513308654418847685e-29, -1.994236502503431439e+02
1.062715471861739463e-06, 4.661425384478987133e-01, -4.365153305903675149e-28, -2.022776901006712649e+02
1.061587323802438141e-06, 4.570374615640308003e-01, -1.155230005769344739e-29, -2.051356642266249537e+02
1.060461568421947959e-06, 4.492627783576103595e-01, -2.320701711740668441e-28, -2.079722462857577909e+02
1.059338198116416244e-06, 4.432198214241461209e-01, -2.452498664805115785e-28, -2.108036643606317284e+02
1.058217205314176731e-06, 4.389714168057043953e-01, -1.974226748137092661e-28, -2.136232200257354350e+02
1.057098582475578243e-06, 4.362979853753458648e-01, 6.328862325217919572e-29, -2.164598889909824493e+02
1.055982322092816139e-06, 4.362478545327158064e-01, -6.644060124730651969e-28, -2.193145752050747319e+02
1.054868416689764598e-06, 4.382772256640896091e-01, 1.493437138044991518e-28, -2.221573610348650334e+02
1.053756858821809118e-06, 4.430743957282701206e-01, -1.483794111792377805e-28, -2.249927758945097480e+02
1.052647641075680923e-06, 4.504377248835280678e-01, -2.659623285167790667e-28, -2.278230745263775816e+02
1.051540756069292213e-06, 4.609851190481372707e-01, -4.338753065408478966e-28, -2.306660025710939692e+02
1.050436196451572263e-06, 4.753198173158124096e-01, 6.516060434982311641e-29, -2.335141936761118870e+02
1.049333954902305219e-06, 4.934397595284286675e-01, -2.807666895522683734e-28, -2.363751904524588099e+02
1.048234024131967253e-06, 5.158235364076914076e-01, -1.147239936869182417e-28, -2.392054410952414116e+02
1.047136396881567322e-06, 5.427023736276788135e-01, -1.841486981273327958e-28, -2.420439591119590830e+02
1.046041065922486232e-06, 5.744676655666489662e-01, -3.857124946864177890e-28, -2.448862693495684368e+02
1.044948024056318455e-06, 6.108769928000006288e-01, -1.168516627539578646e-28, -2.477233493211150233e+02
1.043857264114715002e-06, 6.522609633575175980e-01, -8.720567513770432214e-29, -2.505736809060262829e+02
1.042768778959225241e-06, 6.979897231155631765e-01, -3.232416786072954119e-28, -2.534410012965951751e+02
1.041682561481142739e-06, 7.472618775603954155e-01, -6.072008155891972985e-29, -2.562881252952271325e+02
1.040598604601349617e-06, 7.990429839750788910e-01, -3.225935363526502907e-28, -2.591284206745738743e+02
1.039516901270163238e-06, 8.510039712062721362e-01, -5.860668799816035121e-29, -2.619876075963156268e+02
1.038437444467182682e-06, 9.001563089083295388e-01, -1.982178936996948553e-28, -2.648177633960486332e+02
1.037360227201137975e-06, 9.431740183398467092e-01, -1.834979478599134498e-28, -2.676904746904330068e+02
1.036285242509737621e-06, 9.764349445087959767e-01, -2.826808425565103846e-28, -2.705402961943585751e+02
1.035212483459520586e-06, 9.958719665336869253e-01, 1.599125903539001181e-29, -2.733799950075984952e+02
1.034141943145705101e-06, 9.982940788472027815e-01, -3.934743668104227804e-28, -2.762397516390042256e+02
1.033073614692042123e-06, 9.814120083610970990e-01, -3.883225232515503957e-29, -2.790938565622136593e+02
1.032007491250667534e-06, 9.439562622727074581e-01, -3.788586691635479590e-28, -2.819419314889644852e+02
1.030943566001955386e-06, 8.877074974720239320e-01, -6.556547800274067281e-29, -2.848200032279297034e+02
1.029881832154373696e-06, 8.145500864835667487e-01, -3.018361637662236988e-28, -2.876480822229887053e+02
1.028822282944338335e-06, 7.291539369536350623e-01, -7.281042411540710318e-29, -2.905191046598391722e+02
1.027764911636070935e-06, 6.366345210816068967e-01, -2.473286718415742908e-28, -2.933852013372554097e+02
1.026709711521454894e-06, 5.421075907518779768e-01, -3.796669061138537543e-28, -2.962128406849468547e+02
1.025656675919894347e-06, 4.500135001771254362e-01, 7.034178568240797362e-29, -2.990949534192815804e+02
1.024605798178173134e-06, 3.645986287995597874e-01, -1.067650175977886625e-28, -3.019272719597849459e+02
1.023557071670314191e-06, 2.887538359893944695e-01, 7.256722029593287287e-28, -3.048008058555705020e+02
1.022510489797440640e-06, 2.234015207366001343e-01, 4.013809414183669820e-27, -3.076789957067115893e+02
1.021466045987637294e-06, 1.690178214078427721e-01, 1.651036273153896260e-26, -3.105181005679325494e+02
1.020423733695813231e-06, 1.258319211624663869e-01, 4.649278101007184462e-26, -3.134224530154663171e+02
1.019383546403564572e-06, 9.173142203286364926e-02, 8.582340501513212488e-26, -3.163151963130288209e+02
