# wl (nm), spectrum (a.u.), gdd (fs^2),phase
1.013186685939105403e-06, 1.145046567397632262e-02, -1.675448402482007943e-25, 3.411765988149645636e+02
1.012161193342000953e-06, 8.601200147417907560e-03, -1.264426547597547787e-25, 3.441742604666759462e+02
1.011137774541857312e-06, 7.436215839771463665e-03, -9.666016494211305412e-26, 3.413735062462815222e+02
1.010116423254441328e-06, 6.833686366127716960e-03, -1.371848870613264340e-26, 3.416315097611441161e+02
1.009097133220884890e-06, 6.337568200479005813e-03, -5.124970392238155884e-26, 3.390984472432396615e+02
1.008079898207557442e-06, 6.350961159770618196e-03, -2.710793466022360956e-27, 3.367339551754297986e+02
1.007064712005938508e-06, 6.244727366497180090e-03, -2.835597745772805696e-26, 3.365056694982525300e+02
1.006051568432491909e-06, 6.282968178272342087e-03, 2.165162903544807474e-26, 3.372699837512092813e+02
1.005040461328539553e-06, 6.188021671254994444e-03, 3.660457384451935775e-28, 3.357988338453918118e+02
1.004031384560137345e-06, 6.245760594329536480e-03, -1.453977620705776212e-26, 3.378889409569769668e+02
1.003024332017950675e-06, 6.041112185546006035e-03, 3.663594060814064793e-26, 3.381536588760457676e+02
1.002019297617131172e-06, 6.342916872704632177e-03, -1.909810376087163974e-26, 3.371357880398452380e+02
1.001016275297194096e-06, 6.218959751117900982e-03, -2.899416438942800361e-26, 3.397841695572111007e+02
1.000015259021896792e-06, 6.321230860719923017e-03, 2.712881462908251104e-26, 3.415480346350166201e+02
9.990162427791177741e-07, 6.033867666538198817e-03, -8.374327830954541713e-27, 3.437452531383302698e+02
9.980192205807355977e-07, 6.272163716314014918e-03, -2.080830464236122878e-26, 3.465391179497259486e+02
9.970241864625094314e-07, 6.187493778061727533e-03, 3.094362525346353389e-26, 3.436510666564895473e+02
9.960311344839611055e-07, 6.110429439306806765e-03, 2.280132268417753304e-28, 3.462235610174342924e+02
9.950400587282556813e-07, 6.257099973055878402e-03, -3.138512653549231255e-27, 3.479044863816075122e+02
9.940509533020843481e-07, 6.148240595862847907e-03, -1.992718916592865240e-26, 3.504175465181763229e+02
9.930638123355481686e-07, 6.073266317540454776e-03, 2.346744451102832527e-26, 3.501644029016011928e+02
9.920786299820405527e-07, 6.188447505520239950e-03, -1.718778413620260422e-27, 3.500354323040449458e+02
9.910954004181337548e-07, 6.223231946692364333e-03, 3.089430194242879437e-27, 3.503788650084152891e+02
9.901141178434621958e-07, 6.230942181287577562e-03, -3.512821664017170137e-26, 3.534393669869672863e+02
9.891347764806102306e-07, 6.227427546749163094e-03, 4.463814886128391543e-26, 3.513781382410510332e+02
9.881573705749969518e-07, 6.336372829850694943e-03, -2.286784282817541896e-26, 3.528151750990936080e+02
9.871818943947648048e-07, 6.253401092790730406e-03, -3.931638068940514454e-26, 3.504149536518025911e+02
9.862083422306675680e-07, 6.304430262761299454e-03, 6.364214723270320825e-26, 3.531519675249125498e+02
9.852367083959574852e-07, 6.368674154317967642e-03, -2.194141034625233495e-26, 3.513549628398390610e+02
9.842669872262764221e-07, 6.219016664305816039e-03, -7.139112317873916358e-27, 3.522412444294416787e+02
9.832991730795446935e-07, 6.281152833391267370e-03, 9.785685244171089827e-28, 3.513286508515227524e+02
9.823332603358515837e-07, 6.346069704406894114e-03, -4.379617905961770515e-27, 3.493464385105330621e+02
9.813692433973473503e-07, 6.350855550801527520e-03, -8.741553869226994126e-28, 3.518463081334916183e+02
9.804071166881341683e-07, 6.048994157407747672e-03, 4.305596009629893190e-26, 3.491614138245896584e+02
9.794468746541596162e-07, 6.383994962156048017e-03, -1.825857392795558087e-27, 3.502556173169276121e+02
9.784885117631084671e-07, 6.350788140871902257e-03, -1.665023834545660308e-26, 3.512008162643586502e+02
9.775320225042980803e-07, 6.278733237196292873e-03, -2.688564343925074102e-26, 3.489543584792492652e+02
9.765774013885712517e-07, 6.404657751118768977e-03, -5.814559347745685330e-27, 3.520578150717143444e+02
9.756246429481920287e-07, 6.316967151299155217e-03, 1.516814008960864187e-26, 3.542807827362387343e+02
9.746737417367415250e-07, 6.401363988241926851e-03, -1.131011247702159843e-26, 3.535495236712397968e+02
9.737246923290135240e-07, 6.368516726959246553e-03, 2.349421819206802993e-26, 3.518078994061185085e+02
9.727774893209113524e-07, 6.317081030362300779e-03, -2.029696705868893770e-26, 3.540468037432004849e+02
9.718321273293458129e-07, 6.361052286564735335e-03, 1.254980335478467395e-26, 3.558823576810138434e+02
9.708886009921329048e-07, 6.098930382572167325e-03, 4.348496345710104607e-27, 3.535171713800187376e+02
9.699469049678921799e-07, 6.261304193964181176e-03, -5.855315083263664413e-28, 3.565853423477631736e+02
9.690070339359467931e-07, 6.228111842003858714e-03, 2.166823756321427137e-26, 3.571395264271556584e+02
9.680689825962216464e-07, 6.307674916102242769e-03, -1.262680894129719059e-26, 3.590865002576015854e+02
9.671327456691459798e-07, 6.438776576217189636e-03, 2.930337670012324322e-26, 3.582438759055524429e+02
9.661983178955525751e-07, 6.273321036885190320e-03, -4.772189805825040630e-26, 3.586331055736056328e+02
9.652656940365801345e-07, 6.290631277080421628e-03, 6.898111808685800054e-27, 3.562597430146276452e+02
9.643348688735746022e-07, 6.414203679390490312e-03, -6.430092829184096933e-27, 3.576980339978488246e+02
9.634058372079932370e-07, 6.397218554150846392e-03, -6.003855070199392158e-27, 3.590745016686389590e+02
9.624785938613059336e-07, 6.151211721133341588e-03, 2.728664095087027275e-26, 3.613348858589731663e+02
9.615531336749007782e-07, 6.478011646385705910e-03, -2.365197905993600854e-26, 3.630066643444349666e+02
9.606294515099874867e-07, 6.335333742432012853e-03, -4.775657654651039699e-26, 3.604338637953526359e+02
9.597075422475016901e-07, 6.417684962116643188e-03, 4.998564748643824771e-26, 3.630622125357814411e+02
9.587874007880123959e-07, 6.299813632475389363e-03, 1.268932321992714135e-26, 3.601337575987549258e+02
9.578690220516252151e-07, 6.219623454747908245e-03, -6.015911398983609615e-27, 3.605208614496440873e+02
9.569524009778917291e-07, 6.152256242764970497e-03, -7.936577885188242762e-27, 3.581503852941669948e+02
9.560375325257139871e-07, 6.217844168219010918e-03, 3.778459226637111506e-27, 3.562215487947770498e+02
9.551244116732540850e-07, 6.347989045297436003e-03, 2.768763452742783364e-27, 3.592413742794360587e+02
9.542130334178405687e-07, 6.151321571726487726e-03, 2.616485198509196563e-26, 3.599131754607057587e+02
9.533033927758788602e-07, 6.081505207693329619e-03, -6.546641926066000958e-26, 3.582166633293713858e+02
9.523954847827590364e-07, 6.371479510826401349e-03, 3.757585362412921277e-26, 3.556190300399376270e+02
9.514893044927658328e-07, 6.306706757682138849e-03, 4.144951404636051125e-26, 3.577265186265307761e+02
9.505848469789894925e-07, 6.179755781001906693e-03, -5.047662104740501438e-26, 3.595113268536887290e+02
