# wl (nm), spectrum (a.u.), gdd (fs^2),phase
1.003024332017950675e-06, 6.171851360271437582e-03, -1.513201105353400096e-26, 2.940467814892817273e+02
1.002019297617131172e-06, 6.019660666483013338e-03, 4.429629042620422604e-26, 2.927160434458194800e+02
1.001016275297194096e-06, 5.892443756121904484e-03, 2.402335915582570613e-28, 2.903100816037375580e+02
1.000015259021896792e-06, 6.002773995765754017e-03, -1.802459441890547020e-26, 2.920671813387277211e+02
9.990162427791177741e-07, 6.059711456996207980e-03, -8.977721991789351727e-27, 2.941643426086847057e+02
9.980192205807355977e-07, 6.018431765213233357e-03, 1.433599295216064727e-26, 2.949818158312703531e+02
9.970241864625094314e-07, 5.992513101921876847e-03, -8.813278474877535637e-27, 2.976152256736643835e+02
9.960311344839611055e-07, 6.174149434658380772e-03, 5.463805495742574080e-28, 2.985749189106442145e+02
9.950400587282556813e-07, 5.973119857611591810e-03, -5.403811595654038490e-27, 2.955110248580371604e+02
9.940509533020843481e-07, 5.977955407522579125e-03, -2.439322439612110000e-27, 2.956361131118312642e+02
9.930638123355481686e-07, 5.939615473041620283e-03, 8.612989286652442051e-27, 2.978118027433591806e+02
9.920786299820405527e-07, 6.046790122357959506e-03, -1.497536114333615296e-26, 2.986126905509002540e+02
9.910954004181337548e-07, 5.779157659940389706e-03, 6.927306252103052032e-27, 2.976232210867019603e+02
9.901141178434621958e-07, 5.962824806344357853e-03, -1.162000770194828729e-26, 2.978700296917121477e+02
9.891347764806102306e-07, 6.009692547995583445e-03, 6.425607343920206879e-27, 2.967755606459226669e+02
9.881573705749969518e-07, 5.841458164861207045e-03, 2.249636616920280601e-26, 2.988492406869045794e+02
9.871818943947648048e-07, 6.017359630884774012e-03, -1.287265297476109356e-26, 2.959384859165195962e+02
9.862083422306675680e-07, 6.052743783526159070e-03, 5.296806471080307973e-27, 2.950863411689415443e+02
9.852367083959574852e-07, 5.969863762549303815e-03, 1.470402257921637051e-26, 2.972558103809620889e+02
9.842669872262764221e-07, 5.853697198005722649e-03, -2.576332724341420792e-26, 2.971997356887559931e+02
9.832991730795446935e-07, 5.965548596138610035e-03, -1.010964596029360130e-27, 2.954667356837797456e+02
9.823332603358515837e-07, 6.099523066187794752e-03, 2.139327966180286415e-26, 2.938734407621953437e+02
9.813692433973473503e-07, 6.016576685838525770e-03, -4.037962454284441714e-26, 2.907821297717198945e+02
9.804071166881341683e-07, 6.153007097976686060e-03, 3.038772059396787680e-26, 2.880065826367150521e+02
9.794468746541596162e-07, 6.072685728320259546e-03, -2.709734470579523214e-26, 2.906648652435409304e+02
9.784885117631084671e-07, 6.029472517560155453e-03, 2.977486280859898791e-26, 2.890565211505468710e+02
9.775320225042980803e-07, 5.910123830013436219e-03, -1.384861142275737176e-26, 2.871131821361381640e+02
9.765774013885712517e-07, 5.975802727313638679e-03, 1.350667983237222704e-26, 2.897783344736520803e+02
9.756246429481920287e-07, 5.961232074764661812e-03, -1.733694308844362631e-26, 2.885234539906271038e+02
9.746737417367415250e-07, 6.097346867861154485e-03, 3.535311630905362118e-26, 2.906398085088201810e+02
9.737246923290135240e-07, 6.128525764417013313e-03, -1.720499465853808890e-26, 2.886983320983435988e+02
