# wl (nm), spectrum (a.u.), gdd (fs^2),phase
1.021466045987637294e-06, 1.701550307633266090e-01, 1.941263795946562364e-27, 2.431653734879768649e+02
1.020423733695813231e-06, 1.262048164835991582e-01, -9.328308436145827833e-27, 2.458713153782847485e+02
1.019383546403564572e-06, 9.248002332437267603e-02, -2.717665308244409524e-26, 2.486536140257939564e+02
1.018345477619039591e-06, 6.645025374838113563e-02, -2.522991110248634918e-26, 2.513841166282621487e+02
1.017309520876802557e-06, 4.758449911389948939e-02, -1.429454145056136838e-25, 2.542360681712592907e+02
1.016275669737700109e-06, 3.382094890138203497e-02, -1.260503197526623366e-25, 2.570583413624826790e+02
1.015243917788727645e-06, 2.355215466067621388e-02, -9.060937976957456640e-26, 2.598178034865601376e+02
1.014214258642897386e-06, 1.701842628948956743e-02, -1.922804663207827148e-25, 2.569735724489525523e+02
1.013186685939105403e-06, 1.235291274281270779e-02, -5.481410399808766283e-26, 2.593340796827429244e+02
1.012161193342000953e-06, 9.416737766143126048e-03, -4.486242239439933466e-26, 2.616697193634195173e+02
1.011137774541857312e-06, 7.281520213832727226e-03, -8.116505628283052314e-26, 2.631040948851974122e+02
1.010116423254441328e-06, 6.907154995404495360e-03, -2.476453523612549068e-26, 2.628613592692715883e+02
1.009097133220884890e-06, 6.553397255535748679e-03, 5.317086748075165749e-26, 2.638467260725979031e+02
1.008079898207557442e-06, 6.050196845808463071e-03, -1.450868901982631658e-25, 2.666694363558058285e+02
1.007064712005938508e-06, 5.692250520938905121e-03, 1.385758860606689656e-25, 2.687606676077380712e+02
1.006051568432491909e-06, 5.827084723534394460e-03, -4.079412310711255929e-26, 2.710467659769770421e+02
1.005040461328539553e-06, 5.953246369851197990e-03, -3.733712442127297246e-26, 2.695002156784555609e+02
1.004031384560137345e-06, 5.905922453248304421e-03, 1.239808116966148008e-26, 2.696073741213068615e+02
1.003024332017950675e-06, 5.583605754146179698e-03, 1.674559882107123252e-26, 2.716886625585265733e+02
