# wl (nm), spectrum (a.u.), gdd (fs^2),phase
1.063846020236060408e-06, 4.761393682375804071e-01, -9.669590746054985995e-29, -3.868200747203943024e+02
1.062715471861739463e-06, 4.651965244136778144e-01, -3.414310053518853629e-28, -3.891878053670911299e+02
1.061587323802438141e-06, 4.561953575571237041e-01, -1.381206236204885991e-28, -3.915431584720999467e+02
1.060461568421947959e-06, 4.486353533442541952e-01, -3.327696980326979429e-28, -3.938969153373301992e+02
1.059338198116416244e-06, 4.422941408243641903e-01, -2.345830782216855223e-28, -3.962739754211646641e+02
1.058217205314176731e-06, 4.380416835602023440e-01, -8.723164453784995758e-29, -3.986511873609592840e+02
1.057098582475578243e-06, 4.357320300255771994e-01, -3.055686047535070459e-28, -4.009799129983173316e+02
1.055982322092816139e-06, 4.355438222564942952e-01, -3.665356643383811238e-28, -4.033502683515857825e+02
1.054868416689764598e-06, 4.375280311406356537e-01, -1.835955108476182220e-28, -4.057521019168370913e+02
1.053756858821809118e-06, 4.422492491544285920e-01, -1.042484602323539518e-28, -4.081027960173388465e+02
1.052647641075680923e-06, 4.498093616793399363e-01, -2.306285800655210077e-28, -4.104711844340419589e+02
1.051540756069292213e-06, 4.603133807168331981e-01, -3.096101535298489485e-28, -4.128213219076290557e+02
1.050436196451572263e-06, 4.747120568961504805e-01, -3.040816435964040578e-28, -4.151887957859637481e+02
1.049333954902305219e-06, 4.928781312053881480e-01, -1.262289336711173613e-28, -4.175629282163388893e+02
1.048234024131967253e-06, 5.154095713157592629e-01, -3.091006197728694868e-28, -4.199382715786590552e+02
1.047136396881567322e-06, 5.424442331591079469e-01, -3.101970420238450756e-28, -4.222979238463238403e+02
1.046041065922486232e-06, 5.743656512360481026e-01, 3.503670017167161151e-29, -4.246802895295802500e+02
1.044948024056318455e-06, 6.107367229250115770e-01, -4.403351957639404062e-28, -4.270579687776492506e+02
1.043857264114715002e-06, 6.520809316256565014e-01, -9.188377348392458161e-29, -4.294309931486575920e+02
1.042768778959225241e-06, 6.977480956433610437e-01, -2.266523396932770078e-28, -4.318056198645697350e+02
1.041682561481142739e-06, 7.473634627353465953e-01, -1.324853817882776157e-28, -4.341818486209416506e+02
1.040598604601349617e-06, 7.986990384967024292e-01, -3.025094936057559390e-28, -4.365569272371067200e+02
1.039516901270163238e-06, 8.505536977522983877e-01, -1.742806385579456303e-28, -4.389408233070782899e+02
1.038437444467182682e-06, 8.997679771392012027e-01, -2.303478914838383007e-28, -4.413199868725543524e+02
1.037360227201137975e-06, 9.428461106988342832e-01, -9.312830848428841209e-29, -4.436955993623288350e+02
1.036285242509737621e-06, 9.763489847336123129e-01, -2.821509845523641124e-28, -4.460811892381072425e+02
1.035212483459520586e-06, 9.958128095084214371e-01, -1.469209553234883941e-28, -4.484552427878372782e+02
1.034141943145705101e-06, 9.986379502897765326e-01, -3.015651444273080096e-28, -4.508420166279452701e+02
1.033073614692042123e-06, 9.814879225160811904e-01, -1.445888814653279639e-28, -4.532312806348931531e+02
1.032007491250667534e-06, 9.446026970230910758e-01, -2.783284370135620116e-28, -4.556089590765433286e+02
1.030943566001955386e-06, 8.879576493076984933e-01, -2.956565426381390108e-28, -4.579869390607592550e+02
1.029881832154373696e-06, 8.150681182674341940e-01, -1.609959669335591193e-28, -4.603886545677661957e+02
1.028822282944338335e-06, 7.297051390584139430e-01, -2.543796626059914173e-28, -4.627707063069078686e+02
