# wl (nm), spectrum (a.u.), gdd (fs^2),phase
1.018345477619039591e-06, 6.623645124740755452e-02, -9.695865640308733028e-27, 1.758889067130475325e+02
1.017309520876802557e-06, 4.735272326048599323e-02, -3.597127392173237034e-26, 1.782127428456361997e+02
1.016275669737700109e-06, 3.322472730233451410e-02, -5.734158176606654998e-26, 1.807155294758894684e+02
1.015243917788727645e-06, 2.334494064445240963e-02, -1.092846074300012131e-25, 1.829896152339152025e+02
1.014214258642897386e-06, 1.685912932272942699e-02, -1.474664441673202994e-25, 1.802717137823486837e+02
1.013186685939105403e-06, 1.215339502843106913e-02, -1.243196382048551159e-25, 1.818040027779996421e+02
1.012161193342000953e-06, 9.375842340183447934e-03, -1.352848343327701873e-25, 1.822795327793119782e+02
1.011137774541857312e-06, 7.484459469940175913e-03, -4.746958388909378060e-26, 1.840193523400054403e+02
1.010116423254441328e-06, 6.799065546253340274e-03, -3.578455313030838244e-26, 1.829403347423079254e+02
1.009097133220884890e-06, 6.389389796037809113e-03, -2.473559782059524123e-26, 1.839599035002633798e+02
1.008079898207557442e-06, 6.006703538848572922e-03, -3.863230509948135756e-26, 1.814315126741511222e+02
1.007064712005938508e-06, 5.840905124209151179e-03, 3.134503464866330604e-26, 1.795483681707094661e+02
1.006051568432491909e-06, 5.980625762492875960e-03, 7.772972783410789624e-28, 1.823453229947214425e+02
1.005040461328539553e-06, 5.742568715550376741e-03, 6.796404005528629544e-27, 1.816028709155503975e+02
1.004031384560137345e-06, 5.852912796522035006e-03, -9.479946783169742616e-27, 1.785239794343136168e+02
1.003024332017950675e-06, 5.814817140626532890e-03, 7.313464653234909644e-27, 1.768650252809199799e+02
1.002019297617131172e-06, 6.081550275025884682e-03, -7.198310084278614611e-27, 1.759335555657019938e+02
1.001016275297194096e-06, 5.872868699583989535e-03, -1.279351205860734854e-26, 1.778075582299617281e+02
1.000015259021896792e-06, 5.952347070838979841e-03, -6.100992647510634102e-27, 1.797808161350786236e+02
9.990162427791177741e-07, 5.608384021394616226e-03, 2.043011303863658365e-26, 1.772045385971661062e+02
9.980192205807355977e-07, 5.819535042049886822e-03, -2.396139845740972945e-26, 1.792942374428410801e+02
9.970241864625094314e-07, 5.751008878103181475e-03, 9.161374903868131917e-27, 1.791534713331206206e+02
9.960311344839611055e-07, 5.759871660855374505e-03, 2.595489286772647934e-28, 1.800048096219690876e+02
9.950400587282556813e-07, 5.920398882939544721e-03, 2.427895757019486409e-27, 1.806204275801454173e+02
9.940509533020843481e-07, 5.713165169636515855e-03, -9.337243022984200941e-27, 1.798535415791366745e+02
9.930638123355481686e-07, 5.749930753900010447e-03, -1.648858563625678492e-26, 1.776139923863020726e+02
9.920786299820405527e-07, 5.749436711276308815e-03, 1.509241007820359107e-26, 1.801151097068167246e+02
9.910954004181337548e-07, 5.839602859649392630e-03, -2.849041204500348195e-26, 1.793780736051743361e+02
