# wl (nm), spectrum (a.u.), gdd (fs^2)
1.022510489797440640e-06, 2.184459954625234124e-01, -5.933118223531004992e-28
1.021466045987637294e-06, 1.645186860814141505e-01, 7.921559195009459853e-28
1.020423733695813231e-06, 1.240258348053595444e-01, 1.615583052035329669e-27
1.019383546403564572e-06, 8.961712273935941442e-02, -6.489110737682550140e-28
1.018345477619039591e-06, 6.439951335527971388e-02, -3.095352660828953804e-27
1.017309520876802557e-06, 4.627047028273836154e-02, 1.712291298019012334e-26
1.016275669737700109e-06, 3.151761589889429810e-02, -1.132979673249767013e-25
1.015243917788727645e-06, 2.362297560271600649e-02, -3.823403917406292039e-26
1.014214258642897386e-06, 1.614014127293755124e-02, -9.708880218093740433e-26
1.013186685939105403e-06, 1.108601614436353563e-02, 7.230379799302835815e-26
1.012161193342000953e-06, 8.293550004865420794e-03, 1.003848761045964479e-26
1.011137774541857312e-06, 6.823783409569871873e-03, 2.303401292216315056e-26
1.010116423254441328e-06, 6.430360140894689561e-03, 1.864428817556563292e-25
1.009097133220884890e-06, 5.764152605846366816e-03, -4.288451944931647793e-26
1.008079898207557442e-06, 5.641906884925619245e-03, -1.586235930042968780e-25
1.007064712005938508e-06, 5.331165480122661803e-03, 3.288175000602268789e-25
1.006051568432491909e-06, 5.408987567725647393e-03, -2.936769479412212704e-25
1.005040461328539553e-06, 5.531285809525002956e-03, -5.486850256008414337e-26
1.004031384560137345e-06, 5.525845948048014808e-03, 1.202039118048427210e-25
1.003024332017950675e-06, 4.437701456242983122e-03, 3.303613211039235048e-26
1.002019297617131172e-06, 5.509328417980427148e-03, -3.900920814692258498e-26
1.001016275297194096e-06, 4.602216194195634519e-03, -6.826137260255922144e-26
1.000015259021896792e-06, 4.830240681915470673e-03, 8.556522948839113413e-26
9.990162427791177741e-07, 5.817911961660125926e-03, 1.291900085785744455e-26
9.980192205807355977e-07, 5.265197039568601106e-03, -5.242766241998709289e-26
9.970241864625094314e-07, 5.734149443625020416e-03, 4.737325997349298784e-26
9.960311344839611055e-07, 5.537959746375629121e-03, -2.105852807821213660e-26
9.950400587282556813e-07, 5.571648302486771100e-03, 2.179367242549303931e-26
9.940509533020843481e-07, 5.067234625363778444e-03, -1.299877582926161536e-26
9.930638123355481686e-07, 5.747712664253360956e-03, 2.977193485904127796e-26
9.920786299820405527e-07, 5.554670432585295109e-03, 5.920541946378907128e-26
9.910954004181337548e-07, 5.343911986975975574e-03, -2.135467699017942304e-25
9.901141178434621958e-07, 4.585061120103693134e-03, 1.474916384470842497e-25
9.891347764806102306e-07, 5.426926377480923575e-03, -8.175587986605337251e-26
9.881573705749969518e-07, 5.172115388559770863e-03, 1.075696810900493933e-25
9.871818943947648048e-07, 6.086655336192642145e-03, 1.875956488288026709e-26
9.862083422306675680e-07, 5.303583718053766355e-03, -8.262452001993130874e-26
9.852367083959574852e-07, 5.839054538335569471e-03, 1.541123405814437944e-26
9.842669872262764221e-07, 4.557498461722752151e-03, -8.424805508761584445e-26
9.832991730795446935e-07, 5.108508844925171814e-03, 1.604478090393884844e-25
9.823332603358515837e-07, 5.365586217470231373e-03, -1.373256717496489298e-25
9.813692433973473503e-07, 4.900134715937320279e-03, 6.430272600263734512e-26
9.804071166881341683e-07, 5.110585196953747536e-03, -1.449273774813756006e-26
9.794468746541596162e-07, 4.976394566681179715e-03, -2.450673209847615357e-26
9.784885117631084671e-07, 4.966444335781315493e-03, -3.894536052592974998e-26
9.775320225042980803e-07, 5.273200915455423729e-03, 1.845973112134733439e-25
9.765774013885712517e-07, 5.879372361933143075e-03, -1.807764537225762003e-25
9.756246429481920287e-07, 5.412527430241848535e-03, 1.462495980167047447e-25
9.746737417367415250e-07, 5.209452340242624706e-03, 1.774294305297996723e-26
9.737246923290135240e-07, 5.848364788968434848e-03, -8.556819333210181636e-26
9.727774893209113524e-07, 5.561806861172432712e-03, -1.366268713295606661e-26
9.718321273293458129e-07, 6.117584398624971269e-03, -6.150168907593287235e-26
9.708886009921329048e-07, 5.577067646866815109e-03, -1.735435961452048761e-26
9.699469049678921799e-07, 5.146575591951821349e-03, 8.755693193720569381e-26
9.690070339359467931e-07, 5.884568609604855054e-03, 3.902569693479128114e-26
9.680689825962216464e-07, 6.046700674709270563e-03, 4.716551731413628347e-26
9.671327456691459798e-07, 5.325837853920855833e-03, -1.253490366709636038e-25
9.661983178955525751e-07, 5.912554293405601451e-03, 1.586267250629107195e-25
9.652656940365801345e-07, 5.595298103796653849e-03, -4.787156768723299227e-26
9.643348688735746022e-07, 5.098099742687132313e-03, -2.433691268349489381e-26
9.634058372079932370e-07, 5.379480925734326721e-03, -6.799913426579899017e-27
9.624785938613059336e-07, 5.049061737944516778e-03, -3.046028836053505776e-26
9.615531336749007782e-07, 5.242521480567294279e-03, 4.906522901265183336e-26
9.606294515099874867e-07, 5.137100048812962699e-03, -4.136313002824240304e-26
9.597075422475016901e-07, 5.400227891787495911e-03, 4.952248106121214513e-26
9.587874007880123959e-07, 5.702016344300963463e-03, -8.280873644861970160e-26
9.578690220516252151e-07, 5.724016972467484317e-03, -3.383500271064589402e-27
9.569524009778917291e-07, 5.491140046029753183e-03, -1.571367197859147962e-26
9.560375325257139871e-07, 4.363389938810662526e-03, -3.036131829579530116e-26
9.551244116732540850e-07, 5.426706520312065893e-03, 1.139316902494383449e-25
9.542130334178405687e-07, 4.802141384840637878e-03, -5.517397102960071757e-26
9.533033927758788602e-07, 5.384956929295500565e-03, 1.781698753520506665e-25
9.523954847827590364e-07, 5.447561853921744149e-03, -2.001405480661874679e-25
9.514893044927658328e-07, 5.427788389685762188e-03, -2.563920372829784812e-26
9.505848469789894925e-07, 5.330317106657711523e-03, 9.398178565797941375e-26
